GID_4,GID_0,COUNTRY,GID_1,NAME_1,GID_2,NAME_2,GID_3,NAME_3,NAME_4,VARNAME_4,TYPE_4,ENGTYPE_4,CC_4
IDN.9.14.20.4_1,IDN,Indonesia,IDN.9_1,Jawa Barat,IDN.9.14_1,Kota Bandung,IDN.9.14.20_1,Gedebage,Rancanumpang,NA,Kelurahan,Urban Community,3273101002
IDN.9.14.21.1_1,IDN,Indonesia,IDN.9_1,Jawa Barat,IDN.9.14_1,Kota Bandung,IDN.9.14.21_1,Kiaracondong,Babakan Sari,NA,Kelurahan,Urban Community,3273150004
IDN.9.14.21.2_1,IDN,Indonesia,IDN.9_1,Jawa Barat,IDN.9.14_1,Kota Bandung,IDN.9.14.21_1,Kiaracondong,Babakan Surabaya,NA,Kelurahan,Urban Community,3273150005
IDN.9.14.21.3_1,IDN,Indonesia,IDN.9_1,Jawa Barat,IDN.9.14_1,Kota Bandung,IDN.9.14.21_1,Kiaracondong,Cicaheum,NA,Kelurahan,Urban Community,3273150006
IDN.9.14.21.4_1,IDN,Indonesia,IDN.9_1,Jawa Barat,IDN.9.14_1,Kota Bandung,IDN.9.14.21_1,Kiaracondong,Kebon Kangkung,NA,Kelurahan,Urban Community,3273150001
IDN.9.14.21.5_1,IDN,Indonesia,IDN.9_1,Jawa Barat,IDN.9.14_1,Kota Bandung,IDN.9.14.21_1,Kiaracondong,Kebun Jayanti,NA,Kelurahan,Urban Community,3273150003
IDN.9.14.21.6_1,IDN,Indonesia,IDN.9_1,Jawa Barat,IDN.9.14_1,Kota Bandung,IDN.9.14.21_1,Kiaracondong,Sukapura,NA,Kelurahan,Urban Community,3273150002
IDN.9.14.22.1_1,IDN,Indonesia,IDN.9_1,Jawa Barat,IDN.9.14_1,Kota Bandung,IDN.9.14.22_1,Lengkong,Burangrang,NA,Kelurahan,Urban Community,3273070005
IDN.9.14.22.2_1,IDN,Indonesia,IDN.9_1,Jawa Barat,IDN.9.14_1,Kota Bandung,IDN.9.14.22_1,Lengkong,Cijagra,NA,Kelurahan,Urban Community,3273070001
IDN.9.14.22.3_1,IDN,Indonesia,IDN.9_1,Jawa Barat,IDN.9.14_1,Kota Bandung,IDN.9.14.22_1,Lengkong,Cikawao,NA,Kelurahan,Urban Community,3273070006
IDN.9.14.22.4_1,IDN,Indonesia,IDN.9_1,Jawa Barat,IDN.9.14_1,Kota Bandung,IDN.9.14.22_1,Lengkong,Lingkar Selatan,NA,Kelurahan,Urban Community,3273070003
IDN.9.14.22.5_1,IDN,Indonesia,IDN.9_1,Jawa Barat,IDN.9.14_1,Kota Bandung,IDN.9.14.22_1,Lengkong,Malabar,NA,Kelurahan,Urban Community,3273070004
IDN.9.14.22.6_1,IDN,Indonesia,IDN.9_1,Jawa Barat,IDN.9.14_1,Kota Bandung,IDN.9.14.22_1,Lengkong,Paledang,NA,Kelurahan,Urban Community,3273070007
IDN.9.14.22.7_1,IDN,Indonesia,IDN.9_1,Jawa Barat,IDN.9.14_1,Kota Bandung,IDN.9.14.22_1,Lengkong,Turangga,NA,Kelurahan,Urban Community,3273070002
IDN.9.14.23.1_1,IDN,Indonesia,IDN.9_1,Jawa Barat,IDN.9.14_1,Kota Bandung,IDN.9.14.23_1,Mandalajati,Jatihandap,NA,Kelurahan,Urban Community,3273142001
IDN.9.14.23.2_1,IDN,Indonesia,IDN.9_1,Jawa Barat,IDN.9.14_1,Kota Bandung,IDN.9.14.23_1,Mandalajati,Karang Pamulang,NA,Kelurahan,Urban Community,3273142002
IDN.9.14.23.3_1,IDN,Indonesia,IDN.9_1,Jawa Barat,IDN.9.14_1,Kota Bandung,IDN.9.14.23_1,Mandalajati,Pasir Impun,NA,Kelurahan,Urban Community,3273142004
IDN.9.14.23.4_1,IDN,Indonesia,IDN.9_1,Jawa Barat,IDN.9.14_1,Kota Bandung,IDN.9.14.23_1,Mandalajati,Sindang Jaya,NA,Kelurahan,Urban Community,3273142003
IDN.9.14.24.1_1,IDN,Indonesia,IDN.9_1,Jawa Barat,IDN.9.14_1,Kota Bandung,IDN.9.14.24_1,Panyileukan,Cipadung Kidul,NA,Kelurahan,Urban Community,3273111002
IDN.9.14.24.2_1,IDN,Indonesia,IDN.9_1,Jawa Barat,IDN.9.14_1,Kota Bandung,IDN.9.14.24_1,Panyileukan,Cipadung Kulon,NA,Kelurahan,Urban Community,3273111004
IDN.9.14.24.3_1,IDN,Indonesia,IDN.9_1,Jawa Barat,IDN.9.14_1,Kota Bandung,IDN.9.14.24_1,Panyileukan,Cipadung Wetan,NA,Kelurahan,Urban Community,3273111003
IDN.9.14.24.4_1,IDN,Indonesia,IDN.9_1,Jawa Barat,IDN.9.14_1,Kota Bandung,IDN.9.14.24_1,Panyileukan,Mekar Mulya,NA,Kelurahan,Urban Community,3273111001
IDN.9.14.25.1_1,IDN,Indonesia,IDN.9_1,Jawa Barat,IDN.9.14_1,Kota Bandung,IDN.9.14.25_1,Rancasari,Cipamokolan,NA,Kelurahan,Urban Community,3273100002
IDN.9.14.25.2_1,IDN,Indonesia,IDN.9_1,Jawa Barat,IDN.9.14_1,Kota Bandung,IDN.9.14.25_1,Rancasari,Derwati,NA,Kelurahan,Urban Community,3273100001
IDN.9.14.25.3_1,IDN,Indonesia,IDN.9_1,Jawa Barat,IDN.9.14_1,Kota Bandung,IDN.9.14.25_1,Rancasari,Manjahlega,NA,Kelurahan,Urban Community,3273100005
IDN.9.14.25.4_1,IDN,Indonesia,IDN.9_1,Jawa Barat,IDN.9.14_1,Kota Bandung,IDN.9.14.25_1,Rancasari,Mekarjaya,NA,Kelurahan,Urban Community,3273100006
IDN.9.14.26.1_1,IDN,Indonesia,IDN.9_1,Jawa Barat,IDN.9.14_1,Kota Bandung,IDN.9.14.26_1,Regol,Ancol,NA,Kelurahan,Urban Community,3273060003
IDN.9.14.26.2_1,IDN,Indonesia,IDN.9_1,Jawa Barat,IDN.9.14_1,Kota Bandung,IDN.9.14.26_1,Regol,Balong Gede,NA,Kelurahan,Urban Community,3273060007
