name,address,lat,lng,business_status,rating,user_ratings_total,types,price_level,ID_Kelurahan 
Mr Iga (Steak Booth and Resto),"3HRR+P65, Jalan Rama, Arjuna",-6.9082299,107.5906202,OPERATIONAL,Unknown,Unknown,"restaurant, food, point_of_interest, establishment",Unknown,IDN.9.14.16.1_1
Bakmi Afang,"Jalan Pasir Kaliki No.71B, Arjuna",-6.9094384,107.5976087,OPERATIONAL,4.5,265,"restaurant, food, point_of_interest, establishment",Unknown,IDN.9.14.16.1_1
Rumah Soerabi,"Jalan Kesatriaan No.45N, Arjuna",-6.9118617,107.5976413,CLOSED_TEMPORARILY,4.7,56,"restaurant, food, point_of_interest, establishment",Unknown,IDN.9.14.16.1_1
Purnawarman Restaurant,"Lobby Level, Jalan HOS. Cokroaminoto No.41-43, Arjuna",-6.9128668,107.597428,OPERATIONAL,4.5,436,"restaurant, food, point_of_interest, establishment",2,IDN.9.14.16.1_1
Fresco Bandung,"Fresco Bandung, Jalan HOS. Cokroaminoto No.41-43, Arjuna",-6.9128668,107.597428,OPERATIONAL,4.6,107,"restaurant, food, point_of_interest, establishment",Unknown,IDN.9.14.16.1_1
Bau Duren Kopo,"3H8W+22W, Babakan Asih",-6.9348803,107.5950682,OPERATIONAL,4.5,11,"restaurant, food, point_of_interest, establishment",Unknown,IDN.9.14.10.1_1
Pempek Faisal Sukaleueur lV,"Jl. Sukaleueur lV, Babakan Asih",-6.9324256,107.5948718,OPERATIONAL,4.4,23,"restaurant, food, point_of_interest, establishment",Unknown,IDN.9.14.10.1_1
"Warung Teh Nina "" SUBUR JAYA ""","3H9V+3VQ, Babakan Asih",-6.9322876,107.5947365,OPERATIONAL,4.2,6,"restaurant, food, point_of_interest, establishment",Unknown,IDN.9.14.10.1_1
Waroeng hamizan,Jalan Raya Kopo Jalan Sukaleueur No.34,-6.9321608,107.5947132,OPERATIONAL,5,1,"restaurant, food, point_of_interest, establishment",Unknown,IDN.9.14.10.1_1
Martabak Aneka Rasa,"3H9V+4R2, Jalan Sukaleueur, Babakan Asih",-6.9322301,107.5945293,OPERATIONAL,4.3,10,"restaurant, food, point_of_interest, establishment",Unknown,IDN.9.14.10.1_1
Saboga,"Jl. Merdeka No. 25-29 Babakan Ciamis Sumurbandung Bandung Jawa Barat, Babakan Ciamis",-6.9078081,107.6090042,OPERATIONAL,1.7,9,"restaurant, food, point_of_interest, establishment",Unknown,IDN.9.14.29.1_1
Warung Nasi Gepuk Elis,"Jalan Aceh No.26, Babakan Ciamis",-6.9105674,107.6078896,OPERATIONAL,3.5,2,"restaurant, food, point_of_interest, establishment",Unknown,IDN.9.14.29.1_1
Rumah Makan Kencana Sari,"Jalan Aceh No.45, Babakan Ciamis",-6.9102313,107.6084929,OPERATIONAL,4.5,2,"restaurant, food, point_of_interest, establishment",Unknown,IDN.9.14.29.1_1
Waroeng Maranggi D'Sate's,"Jalan Aceh No.24, Babakan Ciamis",-6.9105602,107.6077012,OPERATIONAL,3.6,5,"restaurant, food, point_of_interest, establishment",Unknown,IDN.9.14.29.1_1
Sate Kiloan Kang Raga,"Jalan Aceh No.51, Babakan Ciamis",-6.9099268,107.6098884,OPERATIONAL,4.3,49,"restaurant, food, point_of_interest, establishment",Unknown,IDN.9.14.29.1_1
Ayam Penyet & Soto Ayam Asia,"3JR5+6QW, Jalan Purnawarman, Babakan Ciamis",-6.9093846,107.6094659,OPERATIONAL,4.2,106,"restaurant, food, point_of_interest, establishment",Unknown,IDN.9.14.29.1_1
Richeese Factory,"Jalan Purnawarman No.11-13, Babakan Ciamis",-6.9089494,107.6091733,OPERATIONAL,4.4,1445,"restaurant, food, point_of_interest, establishment",2,IDN.9.14.29.1_1
Fortunate Coffee Bandung,"Jalan Kebon Sirih No.21A, Babakan Ciamis",-6.9116411,107.6059872,OPERATIONAL,4.5,530,"restaurant, food, store, point_of_interest, establishment",1,IDN.9.14.29.1_1
HokBen - BEC,"Bandung Electronic Center, Jalan Purnawarman No.7-11, Babakan Ciamis",-6.9087839,107.6091645,OPERATIONAL,3.6,270,"restaurant, food, point_of_interest, establishment",2,IDN.9.14.29.1_1
Panties Pizza Bandung BEC,"Electronic Center (BEC) UG AC -08, Jalan Purnawarman No.9 B, Babakan Ciamis",-6.9083285,107.6091785,OPERATIONAL,4.4,366,"restaurant, food, store, point_of_interest, establishment",2,IDN.9.14.29.1_1
Charada Korean BBQ,"Jalan Kebon Jukut No.25-29 kav 2, Babakan Ciamis",-6.9144331,107.6063722,OPERATIONAL,4.6,3737,"restaurant, food, point_of_interest, establishment",2,IDN.9.14.29.1_1
HokBen - Merdeka,"Jalan Merdeka No.47, Babakan Ciamis",-6.9075987,107.6103643,OPERATIONAL,4.3,1907,"restaurant, food, point_of_interest, establishment",2,IDN.9.14.29.1_1
Baso Teh Uneng,Babakan Ciparay,-6.9387673,107.5813594,OPERATIONAL,4.2,11,"restaurant, food, point_of_interest, establishment",Unknown,IDN.9.14.5.2_1
Kedai AMC,"3H5M+72F, Jalan Pasar Induk Caringin, Babakan Ciparay",-6.9418039,107.5825523,OPERATIONAL,4.3,6,"restaurant, food, point_of_interest, establishment",Unknown,IDN.9.14.5.2_1
Surabi Geulis & Bubble Drink,Babakan Ciparay,-6.940917,107.576568,OPERATIONAL,4.7,83,"restaurant, food, point_of_interest, establishment",1,IDN.9.14.5.2_1
RM. :apau Baru,"Pasar Induk Caringin, Jalan, Babakan Ciparay",-6.9431392,107.5823978,OPERATIONAL,Unknown,Unknown,"restaurant, food, point_of_interest, establishment",Unknown,IDN.9.14.5.2_1
Ayam goreng & bakar asalam,"Jalan Soekarno - Hatta Gang Assalam No.53, Babakan Ciparay",-6.9408339,107.5796897,OPERATIONAL,5,2,"restaurant, food, point_of_interest, establishment",Unknown,IDN.9.14.5.2_1
Mie kocok&Baso Mamah Nissa,"Jalan Soekarno - Hatta Gang Assalam No.63, Babakan Ciparay",-6.9401325,107.5797596,OPERATIONAL,5,9,"restaurant, food, point_of_interest, establishment",Unknown,IDN.9.14.5.2_1
SEBLAK NYANDU MAMA ABYAN,"Jalan Soekarno - Hatta Gang Assalam No.35, Babakan Ciparay",-6.9401113,107.5801874,OPERATIONAL,Unknown,Unknown,"restaurant, food, point_of_interest, establishment",Unknown,IDN.9.14.5.2_1
Chicken Mood,"Jalan Soekarno-Hatta Gang Sirojussalam 1 No.51, Babakan Ciparay",-6.9402339,107.5806703,OPERATIONAL,5,3,"restaurant, food, point_of_interest, establishment",Unknown,IDN.9.14.5.2_1
Resep Mamah Dedeh,"Jl.Soekarno Hatta Gg Elos Barat no.51 lama Rt 04/05, Babakan Ciparay",-6.9399633,107.5790953,OPERATIONAL,4.5,8,"restaurant, food, point_of_interest, establishment",Unknown,IDN.9.14.5.2_1
Kedai pojok mina,"Jalan Caringin, Babakan",-6.9423867,107.5801212,OPERATIONAL,4.8,11,"restaurant, food, point_of_interest, establishment",Unknown,IDN.9.14.5.2_1
Nasi Kuning Ma Ade,"Jalan Caringin Gang Lumbung 4 No.65, Babakan Ciparay",-6.9421825,107.5806012,OPERATIONAL,4.7,3,"restaurant, food, point_of_interest, establishment",Unknown,IDN.9.14.5.2_1
Dapur Rina,"Jalan Caringin Gang Lumbung 4 No.21a, RT.03/RW.05, Babakan Ciparay",-6.9423937,107.5803806,OPERATIONAL,Unknown,Unknown,"restaurant, food, point_of_interest, establishment",Unknown,IDN.9.14.5.2_1
Dapur Kabay,"Jalan Caringin Gang Lumbung 4 No.93, Babakan Ciparay",-6.9423777,107.5804327,OPERATIONAL,Unknown,Unknown,"restaurant, food, point_of_interest, establishment",Unknown,IDN.9.14.5.2_1
Dapur El144,Gg. Assalam (Depan Mesjid Assobariah) RT 04/05,-6.9397302,107.5788281,OPERATIONAL,5,3,"restaurant, food, point_of_interest, establishment",Unknown,IDN.9.14.5.2_1
Kelapa 88,"3H4J+W23, Jalan Caringin Gang Lumbung 4, Babakan Ciparay",-6.9427484,107.5800444,OPERATIONAL,5,4,"cafe, restaurant, food, point_of_interest, establishment",Unknown,IDN.9.14.5.2_1
Kupat Tahu Assalam,"3H5J+WGG, Jalan Nasional III, Babakan Ciparay",-6.9401909,107.5813387,OPERATIONAL,5,1,"restaurant, food, point_of_interest, establishment",Unknown,IDN.9.14.5.2_1
Kantin Transport,"Jalan Soekarno-Hatta No.196, Babakan Ciparay",-6.9395551,107.5807595,OPERATIONAL,3.9,16,"restaurant, food, point_of_interest, establishment",Unknown,IDN.9.14.5.2_1
Waroeng Fadlan&Fadli,"Jalan Caringin Gang Lumbung 4 No.28, Babakan Ciparay",-6.9428291,107.580159,CLOSED_TEMPORARILY,Unknown,Unknown,"restaurant, food, store, point_of_interest, establishment",Unknown,IDN.9.14.5.2_1
Angkringan Papuri,"Jalan Soekarno-Hatta No.785a, Babakan Penghulu",-6.937104,107.685277,OPERATIONAL,3.8,6,"restaurant, food, point_of_interest, establishment",Unknown,IDN.9.14.18.1_1
Mamchick Fried Chicken,"Perm. Grand Pinus Regency Ruko no 10, Babakan Penghulu",-6.934841,107.6830434,OPERATIONAL,5,1,"meal_takeaway, restaurant, food, point_of_interest, establishment",Unknown,IDN.9.14.18.1_1
Hj. Zaenal,"no 88, Jl babakan penghulu No.rt 04 06",-6.9367531,107.6910902,OPERATIONAL,Unknown,Unknown,"meal_takeaway, restaurant, food, point_of_interest, establishment",Unknown,IDN.9.14.18.1_1
Warnas Sarirasa Emak Sumedang,Jalan Soekarno-Hatta,-6.9374655,107.6890444,OPERATIONAL,Unknown,Unknown,"restaurant, food, point_of_interest, establishment",Unknown,IDN.9.14.18.1_1
Ramela Resto - Bandung,"Jalan Soekarno-Hatta No.791B, Babakan Penghulu",-6.936833,107.6879873,OPERATIONAL,Unknown,Unknown,"restaurant, food, point_of_interest, establishment",Unknown,IDN.9.14.18.1_1
SOTO AYAM MADURA,"Jalan Soekarno-Hatta No.791, Babakan Penghulu",-6.9368141,107.6879481,OPERATIONAL,3,2,"restaurant, food, point_of_interest, establishment",Unknown,IDN.9.14.18.1_1
DE'CHICK Fried Chicken,"Jalan Soekarno-Hatta No.791, Babakan Penghulu",-6.9368141,107.6879481,OPERATIONAL,Unknown,Unknown,"meal_takeaway, restaurant, food, point_of_interest, establishment",Unknown,IDN.9.14.18.1_1
Mie Ayam Baso Ceker,"Jalan Soekarno-Hatta No.791, Babakan Penghulu",-6.9368141,107.6879481,OPERATIONAL,4.3,15,"restaurant, food, point_of_interest, establishment",Unknown,IDN.9.14.18.1_1
NASI GORENG MAS ADIT,"Jalan Soekarno-Hatta No.791, Babakan Penghulu",-6.9368141,107.6879481,OPERATIONAL,5,1,"restaurant, food, point_of_interest, establishment",Unknown,IDN.9.14.18.1_1
BASO Hot Jeletot,"Jalan Soekarno-Hatta No.791, Babakan Penghulu",-6.9368141,107.6879481,OPERATIONAL,4.4,11,"restaurant, food, point_of_interest, establishment",Unknown,IDN.9.14.18.1_1
Bakso Wayang,"Jalan Soekarno-Hatta No.791, Cisaranten Wetan",-6.9368141,107.687948,OPERATIONAL,4.5,8,"restaurant, food, point_of_interest, establishment",Unknown,IDN.9.14.18.1_1
Warung Nasi Rima,"Jalan Soekarno-Hatta No.714-710, Babakan Penghulu",-6.9375192,107.6883946,OPERATIONAL,Unknown,Unknown,"restaurant, food, point_of_interest, establishment",Unknown,IDN.9.14.18.1_1
Pecel lele putra mandiri 74,"Jalan Soekarno-Hatta, Babakan Penghulu",-6.9367953,107.6917852,OPERATIONAL,1,1,"restaurant, food, point_of_interest, establishment",Unknown,IDN.9.14.18.1_1
Megatronics Engineering. CV,"Jalan Soekarno-Hatta No.805, Babakan Penghulu",-6.9368217,107.6919249,OPERATIONAL,3,1,"restaurant, food, point_of_interest, establishment",Unknown,IDN.9.14.18.1_1
