name,address,lat,lng,rating,user_ratings_total
Pindang Raos,"Jalan Bukit Raya Atas No.66, Ciumbuleuit",-6.8572547,107.6090098,Unknown,Unknown
Kue Balok Djoewara,"Jalan Bukit Raya Atas No.151, Ciumbuleuit",-6.858810800000001,107.6083768,5,22
Geprek ayam bolotot,"Jalan Rereongan Sarupi No.5, Ciumbuleuit",-6.8582372,107.6079193,5,1
Bakso Langgeng Hurip,"Jalan Rancabentang Dalam, Ciumbuleuit",-6.8729479,107.6105464,5,1
MS 5758,"Jalan Rancabentang Dalam No.120, Ciumbuleuit",-6.872705799999999,107.6105325,5,3
Dapur Raben,"Jl rancabentang dalam RT/RW 006/003, Ciumbuleuit",-6.8727551,107.6107621,5,32
Arbi Food & Drink,"Jalan Ranca Bulan No.106, Ciumbuleuit",-6.8729611,107.6099648,5,2
Warung Wildan,"Jalan Rancabentang dalam No.96, Ciumbuleuit",-6.873389599999999,107.6097577,Unknown,Unknown
Warung pepes bu Kokom (CIUMBULEUIT),"Jalan Rancabentang Dalam No.96, RT./rw/RW.008/006, Ciumbuleuit",-6.8733624,107.6097451,5,2
kantin aneka rasa,"Jalan Rancabentang Dalam No.96, Ciumbuleuit",-6.8733562,107.6097419,3.6,11
Waroeng madev,"4JH6+355, Jalan Ranca Bulan, Ciumbuleuit",-6.8723606,107.6104989,5,2
Warung suki gapura,"4JH6+349, Jalan Rancabentang Dalam, Ciumbuleuit",-6.872324999999999,107.6103548,Unknown,Unknown
Warung mang apeng,Jalan Rancabentang Dalam No.Rt 03/06,-6.8721576,107.6107223,Unknown,Unknown
Warung suki gapura,"4JH6+349, Jalan Rancabentang Dalam, Ciumbuleuit",-6.872324999999999,107.6103548,Unknown,Unknown
Waroeng madev,"4JH6+355, Jalan Ranca Bulan, Ciumbuleuit",-6.8723606,107.6104989,5,2
Pinetta Pizza,"Jalan Rancabentang No.28, Ciumbuleuit",-6.867644799999999,107.6102007,4.7,31
Pino Terrace,"Jalan Rancabentang No.28, Ciumbuleuit",-6.867826200000001,107.6101134,3,2
Jajanan Buna,"Jalan Gunung Agung Dalam No.15B, Ciumbuleuit",-6.868064,107.6108949,Unknown,Unknown
AYAM TULANG LUNAK,"Jalan Gunung Agung Dalam No.14, Ciumbuleuit",-6.8680786,107.6109603,5,1
Mr Roastman - Nara Park Bandung,"Jalan Rancabentang No.28, Ciumbuleuit",-6.867772099999999,107.6097213,4.7,566
Nara Park Bandung,"Jalan Rancabentang No.28, Ciumbuleuit",-6.867775000000001,107.609671,4.6,11157
Seblak Aa Eggy,Ciumbuleuit,-6.8673491,107.6112381,5,4
Karnivor Kiputih,"Jalan Kiputih No.37, Ciumbuleuit",-6.866132199999999,107.6099945,4.7,675
Karnivor,"Jalan Kiputih No.37, RW.3, Ciumbuleuit",-6.866132199999999,107.6099945,4.3,15
Batagor Abah,"4JM6+86X, Ciumbuleuit",-6.8666274,107.6106035,Unknown,Unknown
